"Mês","Ano","Ilha","Habitantes","Consumidores","Fuelóleo","Gasóleo","Hídrica","Geotérmica","Eólica","Fotovoltaica","Resíduos","Outras Renováveis","Total"
"11","2022","Faial","14443","8402","3342445","2263","27604","0","473557","1472","0","0","3847341"
"11","2022","Flores","3627","2553","0","294325","542923","0","90411","162","0","0","927821"
"11","2022","Corvo","470","286","0","132676","0","0","0","3967","0","0","136643"
"10","2022","Santa Maria","5612","4028","0","1677308","0","0","115194","81506","0","0","1874008"
"10","2022","São Miguel","137133","66571","20814138","5545","1863658","13488599","1875007","34607","0","68849","38150403"
"10","2022","Terceira","54874","28474","11006816","93615","0","1427964","2802931","8592","929839","0","16269757"
"10","2022","Graciosa","4179","3366","0","398082","0","0","659805","69181","0","0","1127068"
"10","2022","São Jorge","8228","6103","0","2278916","0","0","219378","4095","0","0","2502389"
"10","2022","Pico","13635","10218","3470589","116","0","0","496905","439","0","0","3968049"
"10","2022","Faial","14443","8395","3446233","12213","12300","0","500718","2657","0","0","3974121"
"10","2022","Flores","3627","2553","0","478795","393746","0","79895","259","0","0","952695"
"10","2022","Corvo","470","285","0","132771","0","0","0","3543","0","0","136314"
"9","2022","Santa Maria","5612","4027","0","1834995","0","0","83163","92402","0","0","2010560"
"9","2022","São Miguel","137133","66467","24066721","7223","1990990","12902674","1131514","39353","0","28905","40167380"
"9","2022","Terceira","54874","28453","11867233","145577","0","1642555","2382334","10186","921645","0","16969530"
"9","2022","Graciosa","4179","3345","0","593478","0","0","492716","99064","0","0","1185258"
"9","2022","São Jorge","8228","6095","0","2415984","0","0","190272","3977","0","0","2610233"
"9","2022","Pico","13635","10215","3788771","0","0","0","483783","448","0","0","4273002"
"9","2022","Faial","14443","8393","3827414","504","2744","0","407100","2974","0","0","4240736"
"9","2022","Flores","3627","2551","0","610177","319000","0","62862","243","0","0","992282"
"9","2022","Corvo","470","285","0","134633","0","0","0","4068","0","0","138701"
"8","2022","Santa Maria","5612","4021","0","1974442","0","0","43424","105995","0","0","2123861"
"8","2022","São Miguel","137133","66403","23181135","3622","2207553","14675325","743937","47364","0","23706","40882642"
"8","2022","Terceira","54874","28443","13188387","327982","173992","1781689","847476","10492","1322952","0","17652970"
"8","2022","Graciosa","4179","3342","0","963967","0","0","238554","118776","0","0","1321297"
"8","2022","São Jorge","8228","6093","0","2645394","0","0","80374","4847","0","0","2730615"
"8","2022","Pico","13635","10209","4419043","384","0","0","111404","500","0","0","4531331"
"8","2022","Faial","14443","8385","4379083","0","0","0","169967","3791","0","0","4552841"
"8","2022","Flores","3627","2549","0","825924","197115","0","35476","299","0","0","1058814"
"8","2022","Corvo","470","285","0","143752","0","0","0","3884","0","0","147636"
"7","2022","Santa Maria","5612","4018","0","1791945","0","0","86544","114341","0","0","1992830"
"7","2022","São Miguel","137133","66326","22822437","5330","2300156","13177035","1390251","53877","0","42376","39791462"
"7","2022","Terceira","54874","28403","13002899","513710","10067","1396199","1541726","12517","682027","0","17159145"
"7","2022","Graciosa","4179","3342","0","784864","0","0","302574","119191","0","0","1206629"
"7","2022","São Jorge","8228","6090","0","2501181","0","0","133784","4131","0","0","2639096"
"7","2022","Pico","13635","10194","4173830","0","0","0","149770","580","0","0","4324180"
"7","2022","Faial","14443","8393","4183208","240","1238","0","216628","4003","0","0","4405317"
"7","2022","Flores","3627","2545","0","792103","191850","0","40011","326","0","0","1024290"
"7","2022","Corvo","470","286","0","138393","0","0","0","4870","0","0","143263"
"6","2022","Santa Maria","5612","4011","0","1556666","0","0","86694","109525","0","0","1752885"
"6","2022","São Miguel","137133","66235","20677366","3951","2349140","12371699","1171682","43511","0","50366","36667715"
"6","2022","Terceira","54874","28352","9822926","63946","168994","1597021","2432909","9893","1344873","0","15440562"
"6","2022","Graciosa","4179","3344","0","391420","0","0","600527","96949","0","0","1088896"
"6","2022","São Jorge","8228","6079","0","2209748","0","0","178689","3958","0","0","2392395"
"6","2022","Pico","13635","10173","3442501","0","0","0","342601","475","0","0","3785577"
"6","2022","Faial","14443","8384","3330795","6509","1782","0","483076","1634","0","0","3823796"
"6","2022","Flores","3627","2538","0","490673","395481","0","48895","233","0","0","935282"
"6","2022","Corvo","470","286","0","132261","0","0","0","4396","0","0","136657"
"5","2022","Santa Maria","5612","4013","0","1459058","0","0","81477","97556","0","0","1638091"
"5","2022","São Miguel","137133","66177","19491476","5775","2384666","14069987","992737","44870","0","64992","37054503"
"5","2022","Terceira","54874","28347","11628450","19019","273453","1528709","2066445","12371","407191","0","15935638"
"5","2022","Graciosa","4179","3344","0","460026","0","0","518792","105281","0","0","1084099"
"5","2022","São Jorge","8228","6078","0","2220725","0","0","170928","5240","0","0","2396893"
"5","2022","Pico","13635","10152","3542753","0","0","0","292607","514","0","0","3835874"
"5","2022","Faial","14443","8363","3283456","325","22476","0","503698","1614","0","0","3811569"
"5","2022","Flores","3627","2526","0","443435","486774","0","36043","289","0","0","966541"
"5","2022","Corvo","470","285","0","131952","0","0","0","3905","0","0","135857"
"4","2022","Santa Maria","5612","4012","0","1294833","0","0","219584","97714","0","0","1612131"
"4","2022","São Miguel","137133","66155","16386713","5872","2446562","15057894","1587546","43976","0","49906","35578469"
"4","2022","Terceira","54874","28342","9506387","3207","243901","1649187","3095352","9849","849074","0","15356957"
"4","2022","Graciosa","4179","3343","0","243717","0","0","732151","87911","0","0","1063779"
"4","2022","São Jorge","8228","6082","0","1915065","0","0","301337","5161","0","0","2221563"
"4","2022","Pico","13635","10144","3247577","252","0","0","482346","455","0","0","3730630"
"4","2022","Faial","14443","8364","3112568","56","42001","0","622785","1317","0","0","3778727"
"4","2022","Flores","3627","2524","0","328853","544026","0","39500","316","0","0","912695"
"4","2022","Corvo","470","285","0","130095","0","0","0","1464","0","0","131559"
